loan_int_rate,loan_amnt,loan_grade,debt_ratio,loan_intent,loan_percent_income,person_income,dataset,label
16.02,35000.0,D,,PERSONAL,0.59,59000.0,credit_risk,1.0
11.14,1000.0,B,,EDUCATION,0.1,9600.0,credit_risk,0.0
12.87,5500.0,C,,MEDICAL,0.57,9600.0,credit_risk,1.0
15.23,35000.0,C,,MEDICAL,0.53,65500.0,credit_risk,1.0
14.27,35000.0,C,,MEDICAL,0.55,54400.0,credit_risk,1.0
7.14,2500.0,A,,VENTURE,0.25,9900.0,credit_risk,1.0
12.42,35000.0,B,,EDUCATION,0.45,77100.0,credit_risk,1.0
11.11,35000.0,B,,MEDICAL,0.44,78956.0,credit_risk,1.0
8.9,35000.0,A,,PERSONAL,0.42,83000.0,credit_risk,1.0
14.74,1600.0,D,,VENTURE,0.16,10000.0,credit_risk,1.0
10.37,35000.0,B,,VENTURE,0.41,85000.0,credit_risk,1.0
8.63,4500.0,A,,HOMEIMPROVEMENT,0.45,10000.0,credit_risk,1.0
7.9,35000.0,A,,VENTURE,0.37,95000.0,credit_risk,1.0
18.39,35000.0,E,,EDUCATION,0.32,108160.0,credit_risk,1.0
7.9,35000.0,A,,EDUCATION,0.3,115000.0,credit_risk,0.0
10.65,30000.0,B,,DEBTCONSOLIDATION,0.06,500000.0,credit_risk,0.0
7.9,35000.0,A,,EDUCATION,0.29,120000.0,credit_risk,0.0
20.25,35000.0,F,,MEDICAL,0.32,92111.0,credit_risk,1.0
18.25,35000.0,D,,DEBTCONSOLIDATION,0.31,113000.0,credit_risk,1.0
10.99,1750.0,B,,EDUCATION,0.16,10800.0,credit_risk,1.0
7.49,35000.0,A,,VENTURE,0.22,162500.0,credit_risk,0.0
16.77,34800.0,E,,PERSONAL,0.25,137000.0,credit_risk,0.0
17.58,34000.0,D,,EDUCATION,0.52,65000.0,credit_risk,1.0
7.29,1500.0,A,,PERSONAL,0.14,10980.0,credit_risk,0.0
14.54,33950.0,D,,PERSONAL,0.42,80000.0,credit_risk,1.0
12.68,33000.0,C,,HOMEIMPROVEMENT,0.49,67746.0,credit_risk,1.0
17.74,4575.0,E,,VENTURE,0.42,11000.0,credit_risk,1.0
9.32,1400.0,A,,PERSONAL,0.13,11000.0,credit_risk,0.0
9.99,32500.0,B,,HOMEIMPROVEMENT,0.5,65000.0,credit_risk,1.0
12.84,4000.0,C,,EDUCATION,0.35,11389.0,credit_risk,1.0
11.12,2000.0,B,,MEDICAL,0.17,11520.0,credit_risk,1.0
6.62,32000.0,A,,VENTURE,0.27,120000.0,credit_risk,0.0
14.17,31050.0,C,,HOMEIMPROVEMENT,0.33,95000.0,credit_risk,1.0
13.85,24250.0,C,,DEBTCONSOLIDATION,0.08,306000.0,credit_risk,0.0
13.49,7800.0,C,,MEDICAL,0.03,300000.0,credit_risk,0.0
7.51,2500.0,A,,EDUCATION,0.21,12000.0,credit_risk,1.0
18.39,30000.0,E,,EDUCATION,0.63,48000.0,credit_risk,1.0
14.54,30000.0,D,,DEBTCONSOLIDATION,0.47,64000.0,credit_risk,1.0
16.89,30000.0,D,,HOMEIMPROVEMENT,0.4,75000.0,credit_risk,1.0
,30000.0,D,,DEBTCONSOLIDATION,0.42,71500.0,credit_risk,1.0
17.99,30000.0,E,,MEDICAL,0.41,62050.0,credit_risk,1.0
12.69,2500.0,B,,VENTURE,0.21,12000.0,credit_risk,1.0
7.88,20000.0,A,,VENTURE,0.07,300000.0,credit_risk,0.0
19.41,24250.0,F,,EDUCATION,0.08,300000.0,credit_risk,0.0
10.38,10000.0,B,,HOMEIMPROVEMENT,0.03,300000.0,credit_risk,0.0
15.33,25000.0,D,,EDUCATION,0.08,300000.0,credit_risk,0.0
16.45,18000.0,E,,HOMEIMPROVEMENT,0.06,300000.0,credit_risk,0.0
7.49,30000.0,A,,PERSONAL,0.37,80690.0,credit_risk,1.0
12.69,30000.0,B,,MEDICAL,0.38,66300.0,credit_risk,1.0
6.62,30000.0,A,,DEBTCONSOLIDATION,0.34,89028.0,credit_risk,1.0
,30000.0,D,,DEBTCONSOLIDATION,0.38,78000.0,credit_risk,1.0
18.62,30000.0,F,,DEBTCONSOLIDATION,0.38,78000.0,credit_risk,1.0
15.23,30000.0,C,,PERSONAL,0.33,92004.0,credit_risk,1.0
10.65,30000.0,B,,VENTURE,0.31,97000.0,credit_risk,1.0
7.9,30000.0,A,,EDUCATION,0.25,120000.0,credit_risk,0.0
15.96,10000.0,C,,PERSONAL,0.04,280000.0,credit_risk,0.0
11.48,20000.0,B,,VENTURE,0.07,277104.0,credit_risk,0.0
,35000.0,A,,PERSONAL,0.13,277000.0,credit_risk,0.0
7.29,30000.0,A,,PERSONAL,0.23,128000.0,credit_risk,0.0
,1750.0,E,,VENTURE,0.15,12000.0,credit_risk,0.0
